ID,Description,Entry_ID,Comment,Synonym,alt_translation1,alt_translation2
SN000708,Colanga,Colanga,Apodo.,,Colanga,Colanga
SN000709,"bedspread, quilt, comforter, duvet",colcha,,,colcha,"colcha, jatana"
SN000710,high school,colegio,,,colegio,colegio
SN000711,angry,colera,,iras,"enojado, dar iras, cólera (arc.)","fiña, culira"
SN000712,cholera,LX000038,,,cólera,culira
SN000713,"angry (be), angry (become)",colerana,,aborrina ; enojana ; pujana ; resentina,enojar,colerana
SN000714,cabbage,coles,"Se encuentra casi siempre con el pluralizador del español ""s"".",,col,coles
SN000715,"hang, hang up",colgana,,,colgar,huaruna
SN000716,hummingbird,colibri,,picaflor ; quindi,colibrí,quindi
SN000717,cauliflower,coliflor,,,coliflor,coliflor
SN000718,hill,colina,,,colina,"shaya, colina"
SN000719,"stadium, arena",coliseo,,estadio,coliseo,coliseu
SN000720,"fill in, lay down soil",colmana,,,"colmar, llenar (ej. con tierra)",culmana
SN000721,Colombian,Colombiano,,,Colombiano,Colombiano
SN000722,color,color,,,color,color
SN000723,red,colorada,,,"colorada, rojo",puca
SN000724,red,colorado,,,"colorado, rojo",puca
SN000725,variety of colors,colores,,,variedad de colores,colorescuna
SN000726,coma (e.g. comatose),LX000039,,,coma,coma (unguy)
SN000727,comma,LX000040,,,coma,coma
SN000728,godmother,comadre,,,"comadre, madrina",achimama
SN000729,convenient,combeniente,,,conveniente,combeniente
SN000730,interest (be in one's),LX000041,,,convenir,combenina
SN000731,"talk, chat",combersana,,,conversar,parlana
SN000732,"gift, give, share",combidana,,,"convidar, dar, compartir",carana
SN000733,trough,comedero,,,comedero,comideru
SN000734,dining room,comedor,,,comedor,micuna urcu
SN000735,eat,comena,,,comer,micuna
SN000736,"start, begin",comensana,,empezana ; iniciana,comenzar,callarina
SN000737,itch,comeson,,,comezón,shyjshyj
SN000738,food,comida,,,comida,micuna
SN000739,how?,como,,,cómo?,imashna?
SN000740,"regardless, anyhow, anyway, in any case, even if",como_sea,,comopash ; detodasmaneras ; todo_forma,como sea,imashna
SN000741,"regardless, anyhow, anyway, in any case, even if",comopash,,como_sea ; detodasmaneras ; todo_forma,como sea,imashna
SN000742,"in any case, whichever, any which way, no matter, however, any way",comoquiera,"Palabra compuesta derivada del español: ""como + quiera"".",,"como quiera, como sea",imashnapash
SN000743,godfather,compa,"Abreviación de ""compadre"".",,compadre,"compa, cumpari"
SN000744,"accompany, go with someone",LX000042,,,acompañar,campañana
SN000745,"partner (m), companion (m), colleague (m), peer (m)",LX000043,,,compañero,"compañeru, cumba (jaripa)"
SN000746,"complete, finish",completana,,,completar,"rurana, pactachina"
SN000747,complete,completo,,,completo,cabal
SN000748,"fixed, repair",componishca,,,compuesto,componichishca
SN000749,"shopping, purchase",compra,,,compras,randinacuna
SN000750,buyer,comprador,,,comprador,randidor
SN000751,understand,comprendena,,intindina,comprender,intindina
SN000752,"commitment, meeting, reunion, event",compromiso,,,"compromiso, reunión, evento",compromisu
SN000753,computer,computadora,,,computadora,computadora
SN000754,"community, commune",comuna,,,"comuna, comunidad",comuna
SN000755,communicate,comunicana,,,comunicar,billana
SN000756,concentrate,concentrana,,,concentrar,concentrana
SN000757,shell,concha,,,"concha, caparazón","cara, caparason"
SN000758,stepdaughter,condenada,,,"hijastra, condenada",condenashca
SN000759,condition,condicion,,,condición,condiciones
SN000760,condor,condor,,,cóndor,cundur
SN000761,rabbit,conejo,,,conejo,"cunu, cuniju"
SN000762,"tailor, make (e.g. clothing items)",confeccionana,,,"confeccionar, hacer",rurana (ej. churana)
SN000763,"confidence, trust",confiansa,,,confianza,confiansa
SN000764,confirmation (religious),confirmacion,,,confirmación (acto religioso),shutichi
SN000765,confuse,confundena,Verbo frecuentemente usado con el reflexivo -ri.,,"confundirse, equivocarse",pantana
SN000766,"freezer, fridge",congeladora,,,"congelador, congeladora",congeladora
SN000767,freeze,congelana,,,congelar,"chirina, infriachina"
SN000768,group,conjunto,,,conjunto,"conjunto, tandanajuy"
SN000769,"just barely, just enough",conlasjustas,"Expresión fija derivada del español: ""con + las + justas""; esta palabra no adquiere morfología.",,con las justas,ashta igual
SN000770,"know, meet",conocena,,,conocer,ricsina
SN000771,godfather,conpadre,,,compadre,cumpari
SN000772,"company, business",LX000044,,,compañía,compañia
SN000773,"partner (f), companion (f), colleague (f), peer (f)",LX000045,,,compañera,"compañera, cumba (huarmipa)"
SN000774,share,conparstina,,,compartir,carana
SN000775,"put together, fix, repair",conponina,,,"componer, arreglar",arreglana
SN000776,buy,conprana,,,comprar,randina
SN000777,advise,consejana,,,aconsejar,consejana
SN000778,advice,consejo,,,consejo,consejo
SN000779,concentration,consentracion,,,concentración,"tandanajuy, consentracion"
SN000780,aware,consiente,,,consciente,alicana
SN000781,"verify, make known, listed (be)",constana,"Se encuentra frecuentemente con el causativo ""-chi"".",,constar,ricuna
SN000782,construction,construccion,,,construcción,construccion
SN000783,"construction worker, builder, manufacturer",constructor,,maytro ; trabajac ; trabajador,"constructor, maestro",maystro
SN000784,"accounting, budget, budgeting",contabilidad,,,contabilidad,contabilidad
SN000785,accounting,contable,,,contable,contable
SN000786,contact,contacto,,,contacto,contacto
SN000787,accountant,contadora,,,contadora,"contadora, yupadora"
SN000788,"pollute, contaminate",contaminana,,,contaminar,contaminana
SN000789,"count, take into account",LX000046,,,contar (ej. dinero),yupana
SN000790,tell (e.g. a story),LX000047,,,contar (ej. cuentos),parlana
SN000791,happy (f),contenta,,,contenta,cushi (huarmipa)
SN000792,"happy (be), conform",contentana,"Se encuentra frecuentemente con el causativo ""-chi"".",,"contentar, conformar",cushijuna
SN000793,happy (m),contento,,,"contento, feliz","cushi (jaripa), ali cana"
SN000794,"answer, respond",contestana,,respondina,"contestar, responder","cutinchina, contestana"
SN000795,counterpart,contraparte,,,contraparte,contraparte
SN000796,"hire, contract",contratana,,,contratar,cuntratana
SN000797,contract,contrato,,,contrato,contrato
SN000798,controlled,controlado,,,controlado,"jarcaschca, jarcajun"
SN000799,control,controlana,,,controlar,"controlana, jarcana"
SN000800,heat,conuj,,calenti ; calor,calor,conuj
SN000801,"convince, persuade",convencina,,,convencer,convencina
SN000802,"living together, cohabitation",convivencia,,,convivencia,causanajuy
SN000803,live together,convivina,,,convivir (vivir juntos),tandanajushpa causana
SN000804,cooperative,cooperativa,,,cooperativa,cuperativa
SN000805,"cup, glass",copa,,,copa,copa
SN000806,"copla, four-line verse, folk song",copla,,,copla,copla
SN000807,heart,corazon,,,corazón,shungu
SN000808,"cord, lace",cordon,,,cordón,"cordon, huato"
SN000809,fang,cormillo,,,colmillo,"jatun quiru cormillu, quiru cormillu"
SN000810,"corral, pen",corral,,quincha,corral,quincha
SN000811,Correa,LX000048,Apellido.,,Correa,Correa
SN000812,belt,LX000049,,,"correa, cinturón",huatarina cinturon
SN000813,hallway,corredor,,,corredor,corredor
SN000814,run,correna,,,correr,calpana
SN000815,mail,correo,,,correo,curriu
SN000816,run around,corretiana,Verbo frecuentemente usado con el reflexivo -ri.,,corretear,bulana
SN000817,cut,corrtana,,,cortar,cuchuna
SN000818,"short, small",corto,,,corto,"cortu, uchila"
SN000819,stove,cosina,,,cocina,"jurrnu, tulpa"
SN000820,little thing,cosita,,,cosita,"cosita, cosasgu"
SN000821,tickle,cosquillas,"Se encuentra casi siempre con el pluralizador del español ""s"".",,cosquillas,cosquilla
SN000822,coast,costa,,,costa,costa
SN000823,sack (e.g. for potatoes),costal,,bolsa,costal,cushtal
SN000824,"cost, waste",costana,,gashtana ; LX000198,"costar, valer, gastar","gashtana, valina"
SN000825,rib,costillas,"Se encuentra casi siempre con el pluralizador del español ""s"" cuando se usa en plural.",,costilla,costillas
SN000826,"custom, habit, traditions",costumbre,,,"costumbre, tradiciones",costumbre
SN000827,adjust to something,costumbrena,,,acostumbrar,costumbrana
SN000828,seamstress,costurera,,,costurera,"siradura, costurera"
SN000829,Cotacachi,Cotacachi,Nombre de una ciudad ubicada al nordeste de Otavalo.,,Cotacachi,Cotacachi
SN000830,Cotopaxi,Cotopaxi,Nombre de un volcán y una provincia ubicados en la sierra centro del Ecuador.,,Cotopaxi,Cotopaxi
SN000831,thing,cotsas,"Se encuentra casi siempre con el pluralizador del español ""s"".",,cosa,cotsas
SN000832,harvest,cotsecha,,,cosecha,cosecha
SN000833,harvest,cotsechana,,,cosechar,cosechana
SN000834,sew,cotsena,,sirana,coser,sirana
SN000835,cook,cotsnana,,yanuna,cocinar,yunana
SN000836,"raise (e.g. child, livestock)",creana,,,criar,jatunyana
SN000837,"full of oneself, arrogant",creido,,,creído,"denguis, jariyashca"
SN000838,believe,creina,,,creer,crina
SN000839,grow,cresena,,,crecer,viñana
SN000840,"believer, follower",cric,,,creyente,cric
SN000841,"youth, offspring, baby",criya,,,"cría, bebé",criya
SN000842,raw,crudo,,,crudo,chahua
SN000843,cross,crusana,,,cruzar,crusana
SN000844,crucify,crusificana,,,crucificar,crusificana
SN000845,"cross, cross stitch",cruz,,,cruz,crus
SN000846,notebook,cuaderno,,,cuaderno,cuadernu
SN000847,"hectare, land",cuadra,,,"terreno, hectárea, media cuadra","jatun cuadra, yayac cuadra, yayac alpa, jatun alpa, hectarea"
SN000848,"painting, frame",cuadro,,,cuadro,cuadro
SN000849,cow tripe,cuajera,Parte de los intestinos de la vaca.,,"cuajera, parte de los intestinos de la vaca",cuajera
SN000850,which?,cual,,,cuál?,maijan?
SN000851,"whatever, any, whichever",cualquier,,,cualquier,maijanpash
SN000852,when?,cuando,,,cuándo?,imauras?
SN000853,how much?,cuanto,,,cuánto?,mashna?
SN000854,how much?,cuanto_cuesta,,,cuánto cuesta?,mashna?
SN000855,forty,cuarenta,,,cuarenta,"chuscu chunga, cuarenta"
SN000856,"fourth, one quarter (e.g. measurement)",cuarta,,,cuarta (ej. medida),cuarta
SN000857,two arrobas (archaic measurement equal to 23 kg),cuartilla,,,"dos arrobas, cuartilla",ishcay arruba
SN000858,room,LX000050,,,cuarto,ucu
SN000859,four,LX000051,,,cuatro,"chuscu, cuatru"
SN000860,cubalaya (type of hen),LX000052,,,gallina cubana,cubanu
SN000861,Cuban,LX000053,Nacionalidad (Cuba).,,Cubano,Cubanu
SN000862,carton (e.g. for eggs),cubeta,Palabra usada para describir el cartón de 30 huevos.,,cubeta (de huevos),cubeta
SN000863,spoon,cuchara,,,cuchara,cuchara
SN000864,ladle,cucharon,,,cucharón,bysha
SN000865,pig,cuchi,,,"puerco, chancho, marrano, cuchi",cuchi
SN000866,boogie man,cucu,,,"cuco, diablo","cucu, ayac"
SN000867,"neck, throat",cuello,,,"cuello, garganta","nuca, cunga"
SN000868,Cuenca,Cuenca,,,Cuenca,Cuenca
SN000869,"bill, cheque",cuenta,,,"cuenta, factura",cuenta
SN000870,story,cuentu,,,cuento,cuentu
SN000871,"rope, cord",cuerda,,,cuerda,cabuya
SN000872,"whip, punish",cueriana,,,"cuerear, dar fuete, azotar, latigar, dar una paliza",astina
SN000873,"leather, skin",cuero,,,cuero,cara
SN000874,body,cuerpo,,,cuerpo,cuerpu
SN000875,"slope, hillside",cuesta,,ladera ; subida,"subida, cuesta, ladera","shayac, ladera"
SN000876,careful,cuidado,,,cuidado,alichirina
SN000877,"care for, take care of",cuidana,,protegena,cuidar,"cuidana, ricuna"
SN000878,snake,culebra,,,culebra,culebra
SN000879,Huaicu Gorge,Cullebara_Huaicu,Quebrada cercana a la comunidad de Pijal.,,Quebrada de Cullebara,Cullebara Huaicu
SN000880,"butt, ass",culo,,trasero,"trasero, culo",siqui
SN000881,"bottom, butt",culohua,,,"traserito, nalguita, culito",siquihua
SN000882,fault,culpa,,,culpa,culpa
SN000883,"accuse, blame",culpana,,,culpar,culpana
SN000884,money,culqui,,dinero ; plata,"dinero, plata, cushqui",culqui
SN000885,"cultivate, plant",cultivana,,,cultivar,tarpuna
SN000886,culture,cultura,,,cultura,"cultura, causay"
SN000887,"partner, colleague, friend",cumba,,,"compañero, amigo",cumba
SN000888,birthday,LX000054,,,cumpleaños,"puncha (ñuca puncha, cushi puncha)"
SN000889,"finish, carry out, fulfill, realize, turn (e.g. a given age)",cumplena,,,cumplir,cumplena
SN000890,community,cumunidad,,,comunidad,"cumunidad, comuna"
SN000891,sister-in-law,LX000055,,jachun,cuñada,cuñada
SN000892,brother-in-law,LX000056,,,cuñado,cuñado
SN000893,forget,cungana,,olvidana,olvidar,cungana
SN000894,"kneel, take a knee",cungurina,,incana ; rodillana,arrodillarse,cunguna
SN000895,"payment, fee, dues, installment",cuota,,,cuota,cuota
SN000896,priest,cura,cura (taita),,"cura, sacerdote",taita cura
SN000897,"cure, remedy, treat",curana,,rehabilitana ; sanana,"curar, tratar",jambina
SN000898,healer,curandero,,,curandero,jambidor
SN000899,curve,curba,,,curva,muyui
SN000900,curious,curioso,,,curioso,curioso
SN000901,"clump, lump, clod (e.g. of dirt)",curpa,,terron,terrón,curpa
SN000902,course,curso,,,curso,curso
SN000903,husband,cusa,,,"esposo, marido",cusa
SN000904,Cusin,Cusin,Nombre de una hacienda ubicada en San Pablo del Lago.,,Cusín,Cusin
SN000905,Cusinpamba,Cusinpamba,Nombre de un estadio ubicado en la parroquia de San Pablo.,,Cusinpamba,Cusinpamba
SN000906,grind,cutana,"Se encuentra frecuentemente con el causitivo ""-chi"".",molina ; remolina,moler,cutana
SN000907,rainbow,cuychi,,,"arco iris, cueche (Ecuador)",cuichi
SN000908,"caretaker, carer, guard",cuydador,,,cuidador,cuidador
SN000909,guinea pig,cuyi,,,cuy,cuy
SN000910,"youngster (f), teenager (f), young person (f)",cuytsa,,cuytsa ; huambra ; joben ; longa,joven (f),"cuytsa, longa"
SN000911,"move, rotate, turn",cuyuchina,,movichina,"mover, girar",cuyuchina
SN000912,Cynthia,Cyntia,,,Cyntia,Cyntia
SN000913,give me!,dame,"Expresión derivada del español ""dáme""; esta palabra no adquiere morfología verbal.",,dame!,cuhuay!
SN000914,give,dana,,,dar,"cuna, cara"
SN000915,"broken, damaged, ruined",LX000057,,,dañado,huaglishca
SN000916,"break, damage, ruin, spoil",LX000058,,,dañar,huaglina
SN000917,"broken, damaged, ruined",LX000059,,,dañado,huaglishca
SN000918,damage,LX000060,,,daño,dañushca
SN000919,David,David,Nombre propio (persona).,,David,David
SN000920,"completely, at all (neg.), from one to another",de_parte_a_partellata,"Expresión fija derivada del español ""de parte a parte"" va junto al marcador de totalidad del quichua ""-llata"".",,"de parte a parte, completamente",de parte a partellata
SN000921,"agree, agree with",deacuerdo,,,de acuerdo,nayuyarin
SN000922,"under, underneath, below",debajo,,,"debajo, abajo",ura
SN000923,homework,deberes,"Se encuentra casi siempre con el pluralizador del español ""s"".",tarea,deberes,deberes
SN000924,"weak, sensitive",debil,,,débil,"irqui, chucchuna"
SN000925,"weaken, debilitate",debilitana,,,debilitar,irquiyana
SN000926,draw,debujana,,,dibujar,"dibujana, shuyana"
SN000927,"act, decree",decreto,,,decreto,decreto
SN000928,"during the day, in the morning",dedia,"Palabra compuesta derivada del español: ""de + día"".",,"de día, en la mañana",puncha
SN000929,become daytime,dediana,,,se hace de día,punchayana
SN000930,finger,dedu,,,dedo,"didu, maqui didu"
SN000931,"defect, flaw",defecto,,,defecto,dificto
SN000932,"defend, protect",defendena,,,"defender, proteger",defendina
SN000933,"pointless, in vain, for no apparent reason, for nothing, it was a waste of time, fall on deaf ears",degana,,yanga,"de gana, sin motivo",yanga
SN000934,"pointless, in vain, for no apparent reason, for nothing, it was a waste of time, fall on deaf ears",deganita,,,de ganita,yangatalla
SN000935,leave,dejana,,,dejar,saquina
SN000936,"leaving, leaving behind",dejando,"Verbo que casi siempre va seguido de la preposición en español ""de"".",,dejando,saquishpa
SN000937,"of course, by all means, absolutely",deley,"Palabra compuesta derivada del español: ""de + ley"".",,"de ley, legítimo","delei, delei shinana"
SN000938,thin (very),delgadito,,,delgadito,ñutugu
SN000939,thin,delgado,,,delgado,ñutu
SN000940,"delicate, sensitive",delicado,,,delicado,delicadu
SN000941,"mostly, especially, mainly, more than anything",deltodo,"Palabra compuesta derivada del español: ""del + todo"".",,"sobre todo, del todo","ashtaca, deltodo"
SN000942,in the early morning,LX000061,"Palabra compuesta derivada del español: ""de + mañana"".",,"de mañana, de madrugada","ansa, tutamanta"
SN000943,"in the early morning, before dawn",LX000062,"Palabra compuesta derivada del español: ""de + mañanita"".",madrugadu ; temprano ; tutamanta,"de mañanita, de madrugada","ansa, aliura"
SN000944,"report, sue",demandana,,,"demandar, denunciar",demandana
SN000945,"a lot, too much, too many, more, extra",demas,,,"demás, mucho, demasiado, extra","yapa, ashta, achiya"
SN000946,"too much, too many",demasiado,,,"demasiado, en exceso","yapa, ashta, achiya"
SN000947,"delay, take time",demorana,,,"demorar, tardar","tardana, na utiya"
SN000948,"night (at), early morning (in the)",denoche,,,de noche,tutapi
SN000949,"enter, go in",dentrana,,entrana ; ingresana,entrar,yaicuna
SN000950,"in, inside",dentro,,,dentro,ucu
SN000951,depend on,dependena,,,depender de,dependena
SN000952,"sporting (f), sport (f)",deportiva,,,deportiva,deportiva (huarmipa)
SN000953,deposit,depositana,,,depositar,depositana
SN000954,deposit,deposito,,,depósito,deposito
SN000955,right (direction),LX000063,,,derecho (dirección),dirichu
SN000956,"tear down, bring down, knock down, collapse, fall down",derrumbana,Verbo frecuentemente usado con el reflexivo -ri.,,derrumbar,tunirina
SN000957,"tasteless, unsavory",desabrido,,,"desabrido, sin sabor",chama
SN000958,"loose interest, discourage",desanimana,,,desanimar,na munana
SN000959,disappear,desaparesina,,,desaparecer,chingana
SN000960,"develop, grow",desarrollo,,,"desarrollo, crecer",jatunyana
SN000961,"have breakfast, eat breakfast",desayunana,,,desayunar,ansa micuna
SN000962,breakfast,desayuno,,,desayuno,"ansata micuna, desayuno"
SN000963,"misuse, diversion, redirection",desbio,,,desvío,"debio, shuc ladoman"
SN000964,rest,descansana,,samana,descansar,samana
SN000965,"disabled, handicapped",descapasitado,,,discapacitado,mancugu
SN000966,"unload, download",descargana,,,"descargar, desembarcar",descargana
SN000967,"peel, shell, husk",descascarana,,,"descascarar, pelar",carata llucchina
SN000968,"uncared, neglected, neglectful, not careful",descuidada,,,descuidada,dejashca
SN000969,"from, since",desde,Preposición usada frecuentemente en frases de alternación de código.,,desde,-caman
SN000970,weed,deservana,,jalmana,"deshierbar, desyerbar",jalmana
SN000971,parade,desfilana,,,desfilar,desfilana
SN000972,"thresh, dekernel, skin, peel",desgranana,,ishcuna,desgranar,iscuna
SN000973,"jerk, disgraceful, bastard, despicable",desgrasiado,,,desgraciado,millay
SN000974,"uneven, unequal",desigual,,,desigual,naigual
SN000975,disinfectant,desinfectante,,,desinfectante,desinfectante
SN000976,remove corn husk,desjatulana,,,"descatular, deshojar","jatulota yucchisha, desjatulana"
SN000977,"melt, dissolve",desleina,Del verbo diluir.,,"derretir, diluir",yacuyana
SN000978,pass out,desmayana,,,desmayarse,upayana
SN000979,shell (e.g. green beans),desnavana,,,"desnavar, cortar",jihuata surcuna
SN000980,free (i.e. not busy),desocupado,,lugarlla,desocupado,lugarlla
SN000981,deodorant,desodorante,,,desodorante,desodorante
SN000982,"slowly, quietly",despasio,,,"despacio, callado","alilla, alimanta"
SN000983,"slowly (very), quietly (very)",despasito,,,"despacito, calladito",alillagu
SN000984,say good-bye,LX000064,,,despedir (cuando uno se va),cayacaman nina
SN000985,"fire, dismiss",LX000065,,,despedir (de un trabajo),dispidina
SN000986,wake up,despertana,,levantana ; recordachina,despertarse,richachina
SN000987,after,despues,"Se encuentra frecuentemente seguida por la preposición ""de"" (ej.despues de futbolca) o por un verbo en infinitivo (ej.despues de trabajar).",jipa,después,jipa
SN000988,destination,destino,,,destino,destinu
SN000989,destroy,destruyina,,,destruir,huaglichina
SN000990,"rant, ramble, talk nonsense",desvarina,,,desvariar,desvarina (achca parlana)
SN000991,"melt, thaw, defrost",desyelana,,,"derretir, diluir, deshielar, descongelar",yacuyana
SN000992,"weeded, cleared of weeds",desyuierbada,,,"deshierbada, desyerbada",jamanashca
SN000993,"regardless, anyhow, anyway, in any case",detodasmaneras,,como_sea ; comopash,"de todas maneras, de todos modos","forma (tucuy forma), imashna"
SN000994,"say, supposedly",detsina,"Verbo que frecuentemente se usa como reportativo.""Tsina"" es otra forma reducida/corta.",,"decir, dizque, según dice",nina
SN000995,debt,deuda,,dibe,deuda,"dibe, debita"
SN000996,"a lot, all, well, really",deunaves,"Palabra compuesta derivada del español: ""de + una + vez"".",,"de una vez, bastante, todo, bien","dionaves, achica, tucuy, ali"
SN000997,"true, truthfully, really",deveras,"Palabra compuestaderivada del español: ""de + veras"".",,"de verdad, cierto, en serio",siertopacha
SN000998,"true, truthfully",deverasmente,"Palabra compuesta derivada del español: ""de + veras-mente"".",,"verdaderamente, ciertamente",siertopacha
SN000999,"from time to time, occasionally",devesencuando,"Palabra compuesta derivada del español: ""de + vez + en + cuando"".",,"de vez en cuando, de repente","huaquinpi, direpente"
SN001000,"debt (be in), debt (go into)",devina,,,"endeudar, deber","dibina, culquita fiana"
SN001001,return,devolvina,,,devolver,"entregana, cutichina, tigrachina"
SN001002,day,dia,,,día,puncha
SN001003,Day of the Dead,dia_de_difuntos,,,Día de los Difuntos,huañushcapa puncha
SN001004,devil,diablo,,,diablo,aya
SN001005,devil head (ref. mask worn during the Sun Festival),diabluma,,,cabeza de diablo (ref. la mascara diabluma usada durante Inti Raymi),ayahuma
SN001006,daily,diario,,,diario,"cada puncha, tucui puncha"
SN001007,diarrhea,diarreya,,,diarrea,quicha
SN001008,"from there, hence, therefore, so, that's why, because of that",diay,,,"de ahí, de allí, por lo tanto, por eso, por ende, así pues, entonces",chaymanta
SN001009,debt,dibe,,deuda,deuda,dibi
SN001010,"drawing, picture",dibujo,,,dibujo,dibujo
SN001011,December,diciembre,Mes del año.,,diciembre,diciembri
SN001012,ten,dies,,,diez,"chunga, dies"
SN001013,nineteen,diesinueve,,,diecinueve,"diesinueve, chunga iscun"
SN001014,eighteen,diesiocho,,,dieciocho,"diesiocho, chunga pusac"
SN001015,sixteen,diesiseis,,,dieciseis,"diesiseis, chunga sucta"
SN001016,seventeen,diesisiete,,,diecisiete,"diesisiete, chunga canchis"
SN001017,diet,dieta,,,dieta,dieta
SN001018,different,diferente,,,diferente,"mana igualchu, shujlaya"
SN001019,"difficult, hard",dificil,,,"difícil, duro","na facilchu, sinchi, dificil"
SN001020,"deceased, decedent",difunta,,,difunta,"difunta, huañushca"
SN001021,dynamite,dinamita,,,dinamita,dinamita
SN001022,money,dinero,No es una palabra común.,culqui ; plata,"dinero, plata, cushqui",culqui
SN001023,again,dinuevo,"Palabra compuesta derivada del español: ""de + nuevo"".",,de nuevo,cutin
SN001024,God,dios,,,Dios,"tayta dios, pacha yaya"
SN001025,God (diminutive),diosito,,,Diosito,pacha yayagu
SN001026,oh my god,diosmio,"Palabra compuesta derivada del español: ""dios+mío"".",,Dios mío!,ñuca yaya
SN001027,management (f),directiva,,,"directiva, compañeros","directiva, cabildu"
SN001028,management (m),directivo,No es una palabra común.,,"directivo, compañeros","directiva, cabildu"
SN001029,"straight, direct",directo,,recto,directo,"rictu, derecho"
SN001030,"occasionally, sometimes",LX000066,"Palabra compuesta derivada del español: ""de + repente"".",,"ocasionalmente, a veces",direpente
SN001031,"suddenly, sometimes",LX000067,"Palabra compuesta derivada del español: ""de + repente"".",,de repente,huaquinpi
SN001032,"leader, president",dirigente,,,"dirigente, presidente","ñaupa, cabildu"
SN001033,CD (compact disc),disco,,,disco (CD),discu
SN001034,DJ (disc jockey),disco_mobil,,,"disco móvil, DJ",disco mobil
SN001035,"dress up, disguise",disfrazana,,,disfrazar,disfrazana
SN001036,"dressed up, disguised",disfrazashca,,,disfrazado,disfrazashca
SN001037,"suddenly, quickly",diuna,"Palabra compuesta derivada del español: ""de + una"".",,"de repente, rápidamente, rápido",ashta ñapash
SN001038,"suddenly, quickly",diuno,"Palabra compuesta derivada del español: ""de + uno"".",,"de repente, rápidamente, rápido",ashta ñapash
SN001039,"divide, share, split",dividina,,parrtena ; retasiana,"dividir, compartir, partir","partina, chaupina"
SN001040,"fold (e.g. clothes), twist (e.g. an ankle)",doblana,,,doblar,doblana
SN001041,double,doble,,,doble,"doble, ishcay"
SN001042,doctor (m),doctor,,,"doctor, médico",jambic taita
SN001043,doctor (f),doctora,,,"doctora, médica",jambic mama
SN001044,document,documento,,,documento,documentu
SN001045,dollar,dolar,,,dólar,dolar
SN001046,dollar (diminutive),dolarsito,,,dolarcito,dolargu
SN001047,hurt,dolina,,,doler,nanana
SN001048,pain,dolor,,,dolor,nanay
SN001049,Dolores,Dolores,Nombre propio (persona).,,Dolores,Dolores
SN001050,Dody,Dolucha,Apodo de nombre propio (Dolores).,,Lola (de Dolores),Dolucha
SN001051,Sunday,domingo,Día de la semana.,,domingo,domingu
SN001052,Mister (Mr.),Don,Expresión protocolaria u honorífica que se usa delante de un nombre.,,Don,Tayta
SN001053,Mrs.,LX000068,Expresión protocolaria u honorífica que se usa delante de un nombre.,,Doña,Mama
SN001054,sleep,dormina,,,dormir,puñuna
SN001055,bedroom,dormitorio,,,dormitorio,"puñona uco, cuarto uco"
SN001056,two,dos,,,dos,"ishcay, dos"
SN001057,two hundred,dosientos,"Se encuentra casi siempre con el pluralizador del español ""s"".",,doscientos,"dosientos, ishcay patsac"
SN001058,twelve,dotse,,,doce,"dose, chunga ishcay"
SN001059,hostess (e.g. of a party),LX000069,,,anfitriona (ej. de una fiesta),dueña (fishtapa)
SN001060,owner (f),LX000070,,,dueña,dueña
SN001061,take ownership of,LX000071,,,adueñar,dueñotucuna
SN001062,owner (m),LX000072,,,dueño,dueño
SN001063,"sugar, candy",dulci,,,"azúcar, dulce, caramelo",mishqui
SN001064,sweet,LX000073,,,dulce,mishqui
SN001065,"sweeten, make sweet spreads or jams",dulciyachina,,,hacer dulce (ej. de alguna fruta),mishquiyachina
SN001066,"double, more difficult",duplicado,,,"duplicado, doble (ej. más extensos los estudios)","mirashca, doble mirashca, duplicashca"
SN001067,"difficult, hard",duru,,,"duro, difícil",sinchi
SN001068,avoid,ebitana,,,evitar,evitana
SN001069,"lay down, throw out, pour out",echana,,LX000014 ; tirana,"echar, acostarse, botar",siririna
SN001070,Ecuador,Ecuador,,,Ecuador,Ecuador
SN001071,age,edad,,,edad,"huata, edad"
SN001072,"should, must, have to",ede,Expresión que casi siempre va seguida por un verbo de español en su forma en infinitivo (ej. ede volver).,,ha de + verbo,-sha
SN001073,building,edificio,,,edificio,jatun huasi
SN001074,"smell, stink",edina,"Del verbo en español ""heder"".",,"oler, apestar",ashnana
SN001075,"smelly, stinky",ediondo,,,hediondo,idiundu
SN001076,"polite (f), courteous (f)",educada,,,educada,educada
SN001077,"polite (m), courteous (m)",educado,,,educado,yachachishca
SN001078,"educate, teach",educana,,,"educar, enseñar",yachana
SN001079,educated,educashca,,,educado,educashca
SN001080,"get sick, become sick",efermana,,,enfermar,"hunguna, irquiyana"
SN001081,"Efrain, Ephraim",Efrain,Nombre propio (persona).,,Efraín,Efrain
SN001082,"together, equal, same, similar, alike",egual,,,"igual, juntos","shinallata, igual, -naju"
SN001083,example,ejemplo,"Sustantivo frecuentemente usado en la frase: ""por ejemplo"".",,ejemplo,ejemplu
SN001084,"he, she",el,Pronombre usado con ambos géneros.,,"él, ella",pay
SN001085,"snow, ice",eladashca,Fenómeno atmosférico que se produce durante la noche y amanece todo congelado.,,"helada, helado","casashca, ashtaca chiri"
SN001086,geesh!,ele,,,ele!,ele!
SN001087,election,elecion,,,elección,eleccion
SN001088,Elifonsio,Elifonsio,Nombre propio (persona).,,Elifonsio,Elifonsio
